Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
2025/10/4,4,裏,1,2,2,-,○,○,與 賢史朗,北陸大学,右,辻本匡登,福井工業大学,右,ストレート,,12,外角,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,1,
2025/10/4,5,表,0,0,0,-,-,-,中本伸太朗,福井工業大学,右,沢出絃徳,北陸大学,左,ストレート,,12,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,5,表,0,1,0,-,-,-,中本伸太朗,福井工業大学,右,沢出絃徳,北陸大学,左,ストレート,,11,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,表,1,1,0,-,-,-,中本伸太朗,福井工業大学,右,沢出絃徳,北陸大学,左,チェンジアップ,,4,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,表,1,2,0,-,-,-,中本伸太朗,福井工業大学,右,沢出絃徳,北陸大学,左,スライダー,,3,外角,インプレー,1,1,1,0,1,,-,アウト,フライ,右翼手,1,0,0,0,R5
2025/10/4,5,表,0,0,1,-,-,-,中本伸太朗,福井工業大学,右,中村康太,北陸大学,右,カーブ,,9,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,表,0,1,1,-,-,-,中本伸太朗,福井工業大学,右,中村康太,北陸大学,右,ストレート,,2,内角,インプレー,1,1,1,0,1,,-,アウト,フライ,右翼手,1,0,0,0,T5
2025/10/4,5,表,0,0,2,-,-,-,中本伸太朗,福井工業大学,右,櫻井伯斗,北陸大学,右,ストレート,,11,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,表,1,0,2,-,-,-,中本伸太朗,福井工業大学,右,櫻井伯斗,北陸大学,右,カーブ,,9,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,表,1,1,2,-,-,-,中本伸太朗,福井工業大学,右,櫻井伯斗,北陸大学,右,カーブ,,12,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,表,2,1,2,-,-,-,中本伸太朗,福井工業大学,右,櫻井伯斗,北陸大学,右,チェンジアップ,,8,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,表,2,2,2,-,-,-,中本伸太朗,福井工業大学,右,櫻井伯斗,北陸大学,右,フォーク,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,表,3,2,2,-,-,-,中本伸太朗,福井工業大学,右,櫻井伯斗,北陸大学,右,チェンジアップ,,14,真ん中,ボール,1,1,0,0,0,四球,-,,,,0,0,0,0,
2025/10/4,5,表,0,0,2,○,-,-,中本伸太朗,福井工業大学,右,亀澤祐貴,北陸大学,右,ストレート,,,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,表,0,1,2,○,-,-,中本伸太朗,福井工業大学,右,亀澤祐貴,北陸大学,右,,,,,牽制,0,0,0,0,0,,-,,,,0,0,0,0,
